INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
40,QUIC,https://172.17.90.8:9001,/,4,/image,1047
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
41,HTTP2,https://52.15.197.199:9000,/,740,/image,48804
41,HTTP2,https://172.17.90.8:9000,/,92,/image,889
41,QUIC,https://52.15.197.199:9001,/,375,/image,46555
41,QUIC,https://172.17.90.8:9001,/,3,/image,994
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
42,HTTP2,https://52.15.197.199:9000,/,751,/image,45637
42,HTTP2,https://172.17.90.8:9000,/,82,/image,870
42,QUIC,https://52.15.197.199:9001,/,378,/image,59384
42,QUIC,https://172.17.90.8:9001,/,4,/image,989
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
43,HTTP2,https://52.15.197.199:9000,/,743,/image,51444
43,HTTP2,https://172.17.90.8:9000,/,80,/image,870
43,QUIC,https://52.15.197.199:9001,/,376,/image,57823
43,QUIC,https://172.17.90.8:9001,/,3,/image,994
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
44,HTTP2,https://52.15.197.199:9000,/,756,/image,48981
44,HTTP2,https://172.17.90.8:9000,/,11,/image,786
44,QUIC,https://52.15.197.199:9001,/,375,/image,61354
44,QUIC,https://172.17.90.8:9001,/,4,/image,912
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
45,HTTP2,https://52.15.197.199:9000,/,758,/image,48735
45,HTTP2,https://172.17.90.8:9000,/,13,/image,788
45,QUIC,https://52.15.197.199:9001,/,372,/image,75295
45,QUIC,https://172.17.90.8:9001,/,5,/image,991
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
46,HTTP2,https://52.15.197.199:9000,/,741,/image,48143
46,HTTP2,https://172.17.90.8:9000,/,11,/image,788
46,QUIC,https://52.15.197.199:9001,/,372,/image,62960
46,QUIC,https://172.17.90.8:9001,/,3,/image,918
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
47,HTTP2,https://52.15.197.199:9000,/,739,/image,46860
47,HTTP2,https://172.17.90.8:9000,/,89,/image,882
47,QUIC,https://52.15.197.199:9001,/,374,/image,65217
47,QUIC,https://172.17.90.8:9001,/,4,/image,1000
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
48,HTTP2,https://52.15.197.199:9000,/,775,/image,51488
48,HTTP2,https://172.17.90.8:9000,/,11,/image,785
48,QUIC,https://52.15.197.199:9001,/,378,/image,58448
48,QUIC,https://172.17.90.8:9001,/,5,/image,909
INDEX,TYPE,URL,PATH0,TIME0,PATH1,TIME1
49,HTTP2,https://52.15.197.199:9000,/,786,/image,44148
49,HTTP2,https://172.17.90.8:9000,/,12,/image,789
49,QUIC,https://52.15.197.199:9001,/,379,/image,61259
49,QUIC,https://172.17.90.8:9001,/,4,/image,910
